iter	Logloss
0	0.6701964641
1	0.6490862659
2	0.6295487085
3	0.6118647369
4	0.5951308431
5	0.5798864833
6	0.5658750453
7	0.5526898159
8	0.5408014798
9	0.5299171815
10	0.5196459807
11	0.5103819401
12	0.5018446025
13	0.4937853336
14	0.4865999113
15	0.479903456
16	0.4738913556
17	0.4684304934
18	0.4632291954
19	0.4584246667
20	0.4538448193
21	0.4499362422
22	0.4460185773
23	0.4425444397
24	0.439328463
25	0.4361159763
26	0.4331360698
27	0.4303603599
28	0.4278085148
29	0.4254149746
30	0.4233465351
31	0.4212502249
32	0.419462747
33	0.4176356447
34	0.4159124244
35	0.4142313522
36	0.4127569346
37	0.4115822809
38	0.4103936173
39	0.4091641907
40	0.4079946392
41	0.4068689401
42	0.4059035912
43	0.4048857206
44	0.4039524135
45	0.4030040409
46	0.4021845198
47	0.4016053794
48	0.4008464909
49	0.4003032572
50	0.3995868701
51	0.3990960555
52	0.3984925554
53	0.3978867111
54	0.3974492966
55	0.3969476814
56	0.3964468757
57	0.3959634321
58	0.3956075295
59	0.3951854234
60	0.394888447
61	0.3944626727
62	0.3940958013
63	0.3936537026
64	0.3933633702
65	0.393094201
66	0.3928987032
67	0.3927026437
68	0.3923920572
69	0.392165809
70	0.391947214
71	0.3917113228
72	0.3915633476
73	0.3913611352
74	0.3911166769
75	0.3909263898
76	0.390605948
77	0.3904211238
78	0.3901779095
79	0.3900158179
80	0.3898647393
81	0.3896787484
82	0.3895320442
83	0.3892893887
84	0.3891097704
85	0.3889215754
86	0.3887273476
87	0.3885197019
88	0.3883946491
89	0.3882374781
90	0.3881038467
91	0.3879604988
92	0.3877938339
93	0.3876905729
94	0.3874957892
95	0.3873403246
96	0.3872029348
97	0.3870547151
98	0.3868926602
99	0.3868142651
100	0.386767495
101	0.3866208319
102	0.3865184723
103	0.3864331804
104	0.3863504435
105	0.3862470683
106	0.3861208325
107	0.3860241518
108	0.385904313
109	0.385794577
110	0.3856617348
111	0.3855218859
112	0.3854775024
113	0.3853636251
114	0.3852817247
115	0.3851798309
116	0.3850777314
117	0.3850257622
118	0.3849096923
119	0.3848421144
120	0.3847617725
121	0.3846726731
122	0.3846667348
123	0.3845767842
124	0.3844697805
125	0.3843028193
126	0.3842685185
127	0.3841394538
128	0.3840283173
129	0.3839200047
130	0.3838062405
131	0.3837153556
132	0.3836734128
133	0.3835797872
134	0.3835088214
135	0.3834126344
136	0.3833315435
137	0.3833065352
138	0.3832361923
139	0.383176217
140	0.3830584204
141	0.3829191392
142	0.3828874278
143	0.3828132339
144	0.3827703749
145	0.3826938853
